,Collateral,,,,,, Principal and Interest ,,,
Date, Amt Issued (M) ,# Pools,WAC,WAM,WALA, Balance (M) , Total (M) , Sched (M) , Unsched (M) , Net Interest (M) 
02/2018,264429570.00,5852.00,3.66,339.00,18.00,237720393.00,1473369.00,401837.00,1071533.00,597986.00
01/2018,264876595.00,5916.00,3.66,340.00,17.00,239358449.00,1641730.00,402737.00,1238993.00,602502.00
12/2017,268795882.00,6083.00,3.67,341.00,16.00,243832841.00,1669964.00,408852.00,1261111.00,613758.00
11/2017,274939663.00,6317.00,3.67,341.00,15.00,250204363.00,1895885.00,418526.00,1477359.00,630252.00
10/2017,280809414.00,6548.00,3.67,342.00,15.00,256494488.00,1823216.00,427295.00,1395921.00,645795.00
09/2017,292637919.00,6925.00,3.67,342.00,14.00,267202337.00,2022368.00,444272.00,1578096.00,673062.00
08/2017,306917922.00,7227.00,3.68,343.00,14.00,279938854.00,1980218.00,464244.00,1515974.00,704798.00
07/2017,311435435.00,7407.00,3.68,344.00,13.00,285086998.00,2161626.00,471014.00,1690613.00,718122.00
06/2017,314822338.00,7536.00,3.68,345.00,12.00,289525800.00,1916715.00,475625.00,1441091.00,728606.00
05/2017,316827416.00,7634.00,3.68,346.00,12.00,292781119.00,1614410.00,477977.00,1136433.00,735989.00
04/2017,316357300.00,7624.00,3.68,347.00,11.00,293867540.00,1639499.00,477085.00,1162414.00,738767.00
03/2017,315022443.00,7554.00,3.68,348.00,10.00,294131106.00,1245907.00,474205.00,771702.00,738442.00
02/2017,312032281.00,7419.00,3.68,349.00,9.00,292379452.00,1372222.00,469221.00,903001.00,734378.00
01/2017,299952954.00,7235.00,3.69,350.00,8.00,281643109.00,1816776.00,450545.00,1366231.00,708649.00
12/2016,273174129.00,6828.00,3.71,350.00,8.00,256678131.00,2144028.00,409538.00,1734490.00,647055.00
11/2016,252829690.00,6329.00,3.72,351.00,7.00,238476684.00,2146538.00,379289.00,1767249.00,601559.00
10/2016,217657668.00,5709.00,3.74,350.00,7.00,205447917.00,2160542.00,326200.00,1834342.00,519022.00
09/2016,182450383.00,5080.00,3.76,350.00,8.00,172399937.00,2244318.00,273690.00,1970628.00,436611.00
08/2016,153975727.00,4555.00,3.78,350.00,8.00,146167750.00,1259305.00,230892.00,1028413.00,368568.00
07/2016,132279464.00,4166.00,3.78,349.00,8.00,125728808.00,1030355.00,198634.00,831721.00,316898.00
06/2016,114424418.00,3839.00,3.79,349.00,9.00,108902547.00,855728.00,172006.00,683722.00,274396.00
05/2016,97572684.00,3495.00,3.79,349.00,9.00,92897810.00,741167.00,146994.00,594173.00,234097.00
04/2016,81399455.00,3153.00,3.79,348.00,10.00,77461913.00,848196.00,123357.00,724840.00,195774.00
03/2016,73623695.00,2959.00,3.79,348.00,10.00,70507603.00,375046.00,111724.00,263321.00,177206.00
02/2016,70234780.00,2876.00,3.78,348.00,9.00,67434251.00,294447.00,106604.00,187843.00,169321.00
01/2016,70452240.00,2986.00,3.77,348.00,10.00,67430550.00,355987.00,107118.00,248869.00,169465.00
12/2015,82668205.00,3349.00,3.74,345.00,12.00,77862936.00,421774.00,126320.00,295453.00,195711.00
11/2015,108448982.00,3833.00,3.70,341.00,15.00,100083264.00,620670.00,166516.00,454154.00,251759.00
10/2015,132507439.00,4380.00,3.69,339.00,17.00,120677246.00,782495.00,203568.00,578927.00,303648.00
09/2015,166184138.00,4964.00,3.68,337.00,19.00,149348368.00,1079535.00,254824.00,824710.00,376068.00
08/2015,190403779.00,5517.00,3.67,336.00,20.00,170422934.00,1379051.00,292784.00,1086267.00,429504.00
07/2015,216686593.00,6244.00,3.65,335.00,21.00,193200076.00,1776803.00,335142.00,1441662.00,487441.00
06/2015,249088014.00,6961.00,3.63,334.00,22.00,221708620.00,1856958.00,387503.00,1469455.00,558912.00
05/2015,276313365.00,7588.00,3.61,333.00,22.00,245612301.00,1964076.00,431786.00,1532289.00,618939.00
04/2015,292157304.00,8049.00,3.60,332.00,23.00,258909575.00,2089727.00,458307.00,1631420.00,652497.00
03/2015,309960610.00,8472.00,3.59,331.00,24.00,274463379.00,1820464.00,486792.00,1333671.00,690708.00
02/2015,331190123.00,8981.00,3.59,331.00,24.00,293469111.00,1611001.00,519764.00,1091237.00,737699.00
01/2015,344097117.00,9336.00,3.58,332.00,23.00,305075449.00,2072189.00,540012.00,1532177.00,767868.00
12/2014,355046176.00,9489.00,3.59,333.00,23.00,315595885.00,1870390.00,555896.00,1314494.00,793665.00
11/2014,357914395.00,9583.00,3.59,334.00,22.00,319640809.00,2061734.00,560454.00,1501280.00,804256.00
10/2014,360340745.00,9656.00,3.59,335.00,21.00,323563574.00,2115250.00,564311.00,1550939.00,814197.00
09/2014,363360891.00,9764.00,3.59,336.00,20.00,328069851.00,2234351.00,569466.00,1664885.00,825760.00
08/2014,365270934.00,9811.00,3.59,337.00,19.00,331750060.00,2381285.00,573118.00,1808166.00,835329.00
07/2014,366220479.00,9851.00,3.59,338.00,18.00,334842923.00,2339240.00,575237.00,1764002.00,842956.00
06/2014,366583454.00,9868.00,3.59,339.00,17.00,337461764.00,2088234.00,576183.00,1512051.00,848875.00
05/2014,366743899.00,9886.00,3.59,340.00,16.00,339678070.00,1862640.00,576458.00,1286182.00,853852.00
04/2014,366802182.00,9894.00,3.59,342.00,15.00,341582230.00,1685682.00,576280.00,1109402.00,858170.00
03/2014,366789775.00,9889.00,3.59,343.00,14.00,343255313.00,1371091.00,575459.00,795632.00,861566.00
02/2014,366765476.00,9878.00,3.59,344.00,13.00,344595601.00,1387935.00,574615.00,813319.00,864959.00
01/2014,366742331.00,9865.00,3.59,345.00,12.00,345957933.00,1547278.00,574040.00,973238.00,868763.00
12/2013,366623107.00,9840.00,3.59,346.00,11.00,347385987.00,1468602.00,573193.00,895409.00,872137.00
11/2013,366280964.00,9804.00,3.59,347.00,10.00,348512323.00,1566611.00,572245.00,994366.00,875198.00
