,Collateral,,,,,,Principal and Interest,,,
Date,Amt Issued (M),# Pools,WAC,WAM,WALA,Balance (M),Total (M),Sched (M),Unsched (M),Net Interest (M)
02/2018,264429570,5852,3.664,339,18,237720393,1473369,401837,1071533,597986
01/2018,264876595,5916,3.664,340,17,239358449,1641730,402737,1238993,602502
12/2017,268795882,6083,3.665,341,16,243832841,1669964,408852,1261111,613758
11/2017,274939663,6317,3.665,341,15,250204363,1895885,418526,1477359,630252
10/2017,280809414,6548,3.667,342,15,256494488,1823216,427295,1395921,645795
09/2017,292637919,6925,3.671,342,14,267202337,2022368,444272,1578096,673062
08/2017,306917922,7227,3.675,343,14,279938854,1980218,464244,1515974,704798
07/2017,311435435,7407,3.677,344,13,285086998,2161626,471014,1690613,718122
06/2017,314822338,7536,3.679,345,12,289525800,1916715,475625,1441091,728606
05/2017,316827416,7634,3.681,346,12,292781119,1614410,477977,1136433,735989
04/2017,316357300,7624,3.681,347,11,293867540,1639499,477085,1162414,738767
03/2017,315022443,7554,3.682,348,10,294131106,1245907,474205,771702,738442
02/2017,312032281,7419,3.683,349,9,292379452,1372222,469221,903001,734378
01/2017,299952954,7235,3.689,350,8,281643109,1816776,450545,1366231,708649
12/2016,273174129,6828,3.71,350,8,256678131,2144028,409538,1734490,647055
11/2016,252829690,6329,3.717,351,7,238476684,2146538,379289,1767249,601559
10/2016,217657668,5709,3.739,350,7,205447917,2160542,326200,1834342,519022
09/2016,182450383,5080,3.763,350,8,172399937,2244318,273690,1970628,436611
08/2016,153975727,4555,3.776,350,8,146167750,1259305,230892,1028413,368568
07/2016,132279464,4166,3.781,349,8,125728808,1030355,198634,831721,316898
06/2016,114424418,3839,3.788,349,9,108902547,855728,172006,683722,274396
05/2016,97572684,3495,3.79,349,9,92897810,741167,146994,594173,234097
04/2016,81399455,3153,3.79,348,10,77461913,848196,123357,724840,195774
03/2016,73623695,2959,3.787,348,10,70507603,375046,111724,263321,177206
02/2016,70234780,2876,3.781,348,9,67434251,294447,106604,187843,169321
01/2016,70452240,2986,3.771,348,10,67430550,355987,107118,248869,169465
12/2015,82668205,3349,3.739,345,12,77862936,421774,126320,295453,195711
11/2015,108448982,3833,3.702,341,15,100083264,620670,166516,454154,251759
10/2015,132507439,4380,3.687,339,17,120677246,782495,203568,578927,303648
09/2015,166184138,4964,3.683,337,19,149348368,1079535,254824,824710,376068
08/2015,190403779,5517,3.67,336,20,170422934,1379051,292784,1086267,429504
07/2015,216686593,6244,3.65,335,21,193200076,1776803,335142,1441662,487441
06/2015,249088014,6961,3.628,334,22,221708620,1856958,387503,1469455,558912
05/2015,276313365,7588,3.611,333,22,245612301,1964076,431786,1532289,618939
04/2015,292157304,8049,3.597,332,23,258909575,2089727,458307,1631420,652497
03/2015,309960610,8472,3.59,331,24,274463379,1820464,486792,1333671,690708
02/2015,331190123,8981,3.586,331,24,293469111,1611001,519764,1091237,737699
01/2015,344097117,9336,3.583,332,23,305075449,2072189,540012,1532177,767868
12/2014,355046176,9489,3.585,333,23,315595885,1870390,555896,1314494,793665
11/2014,357914395,9583,3.586,334,22,319640809,2061734,560454,1501280,804256
10/2014,360340745,9656,3.587,335,21,323563574,2115250,564311,1550939,814197
09/2014,363360891,9764,3.588,336,20,328069851,2234351,569466,1664885,825760
08/2014,365270934,9811,3.588,337,19,331750060,2381285,573118,1808166,835329
