,CPR,,,,,PSA,,,,
Date,1M,3M,6M,12M,Life,1M,3M,6M,12M,Life
02/2018,5.25,5.74,6.09,5.37,,150,173,200,217,
01/2018,6.01,6.25,6.19,5.19,,180,199,216,227,
12/2017,6,6.32,6.26,5.11,,188,210,229,237,
11/2017,6.82,6.55,6.19,5.18,,221,226,238,254,
10/2017,6.31,6.3,5.8,5.24,,214,228,235,272,
09/2017,6.82,6.5,5.61,5.63,,237,242,234,297,
08/2017,6.28,6.25,5.12,6.32,,222,238,220,333,
07/2017,6.85,5.7,4.72,6.6,,257,231,217,360,
06/2017,5.78,4.97,4.53,6.78,,232,216,224,381,
05/2017,4.54,4.09,4.89,6.99,,196,192,259,402,
04/2017,4.63,3.79,5.56,7.23,,217,195,318,427,
03/2017,3.1,4.13,6.49,7.73,,160,233,395,460,
02/2017,3.63,5.69,8.11,7.83,,207,346,513,467,
01/2017,5.64,7.3,8.83,7.81,,348,470,566,464,
12/2016,7.76,8.79,9.15,7.69,,497,581,583,455,
11/2016,8.48,10.46,9.06,7.39,,573,690,568,438,
10/2016,10.12,10.33,8.88,7.03,,675,660,539,419,
09/2016,12.75,9.5,8.96,6.5,,813,585,521,393,
08/2016,8.07,7.64,7.55,5.71,,495,456,425,355,
07/2016,7.61,7.4,6.77,5.3,,453,428,375,343,
06/2016,7.24,8.41,6.2,4.97,,420,463,343,338,
05/2016,7.37,7.48,5.69,4.64,,410,397,319,337,
04/2016,10.57,6.13,5.16,4.24,,548,325,301,334,
03/2016,4.37,3.95,3.99,3.56,,227,217,249,308,
02/2016,3.28,3.88,3.84,3.5,,178,226,260,328,
01/2016,4.32,4.29,4,3.63,,226,244,263,276,
12/2015,4.44,4.54,4.61,4.33,,182,199,222,194,
11/2015,5.29,5.22,5.51,5,,172,177,197,166,
10/2015,5.58,5.88,6.12,5.42,,160,175,188,159,
09/2015,6.39,7.08,6.89,5.85,,166,189,186,158,
08/2015,7.34,7.62,6.96,5.96,,184,194,176,156,
07/2015,8.53,7.63,6.57,5.95,,204,185,158,153,
06/2015,7.62,7.23,6.16,5.8,,175,166,142,147,
05/2015,7.19,6.6,5.76,5.66,,160,146,130,144,
04/2015,7.26,5.68,5.48,5.48,,156,123,124,141,
03/2015,5.65,5.26,5.25,5.23,,119,113,120,137,
02/2015,4.36,5.01,5.3,5.01,,92,109,123,135,
01/2015,5.83,5.37,5.63,4.89,,125,120,135,137,
12/2014,4.87,5.29,5.7,4.71,,108,123,142,137,
11/2014,5.47,5.64,5.76,4.56,,126,137,150,141,
10/2014,5.58,5.93,5.59,4.39,,135,150,153,144,
09/2014,5.89,6.11,5.3,4.19,,149,163,153,146,
08/2014,6.31,5.88,4.78,4.01,,168,165,146,150,
07/2014,6.11,5.26,4.19,3.83,,171,156,136,154,
06/2014,5.22,4.49,3.72,3.71,,155,141,129,162,
05/2014,4.43,3.67,3.36,3.72,,140,123,125,177,
04/2014,3.82,3.12,3.18,3.66,,128,112,128,189,
03/2014,2.74,2.95,3.07,3.62,,99,114,135,205,
02/2014,2.79,3.05,3.24,3.69,,108,128,155,229,
01/2014,3.31,3.24,3.46,3.95,,139,149,183,271,
12/2013,3.04,3.19,3.7,4.18,,140,161,217,317,
11/2013,3.36,3.42,4.09,4.44,,170,192,266,374,
10/2013,3.16,3.69,4.15,4.61,,177,231,298,427,
09/2013,3.75,4.21,4.17,4.59,,235,293,332,471,
08/2013,4.15,4.75,4.14,4.59,,292,367,364,519,
07/2013,4.72,4.6,4.44,4.5,,366,391,433,559,
06/2013,5.38,4.13,4.66,4.29,,460,386,502,575,
05/2013,3.7,3.52,4.79,3.96,,346,364,572,571,
04/2013,3.3,4.27,5.07,3.72,,339,490,666,577,
03/2013,3.57,5.19,5.02,3.52,,414,660,731,589,
02/2013,5.94,6.05,5.05,3.34,,757,855,801,588,
01/2013,6.03,5.86,4.57,2.93,,846,902,772,519,
12/2012,6.17,4.85,3.92,2.49,,989,826,686,419,
11/2012,5.36,4.04,3.12,2.12,,877,729,563,314,
10/2012,2.98,3.26,2.37,1.81,,567,611,445,238,
09/2012,3.76,2.99,2.03,1.57,,714,536,394,177,
08/2012,3.05,2.2,1.62,1.38,,552,396,318,137,
07/2012,2.16,1.46,1.28,1.4,,363,275,235,126,
06/2012,1.38,1.07,1.06,1.24,,266,225,167,103,
05/2012,0.84,1.05,1.11,1.15,,174,224,139,91,
04/2012,0.97,1.1,1.22,1.12,,232,198,120,85,
03/2012,1.33,1.04,1.09,1.05,,262,129,84,73,
02/2012,1,1.16,1.12,0.95,,130,100,72,65,
01/2012,0.8,1.32,1.48,0.89,,69,86,85,61,
12/2011,1.67,1.14,1.38,0.86,,108,64,76,60,
11/2011,1.5,1.09,1.16,0.73,,79,56,64,54,
10/2011,0.24,1.64,1,0.61,,13,85,58,47,
09/2011,1.49,1.58,0.98,0.75,,69,81,58,56,
08/2011,3.05,1.21,0.77,0.63,,154,68,51,46,
07/2011,0.2,0.35,0.3,,,11,22,23,,
06/2011,0.36,0.37,0.33,,,23,26,29,,
05/2011,0.5,0.32,0.29,,,35,27,27,,
04/2011,0.26,0.24,0.22,,,21,24,22,,
03/2011,0.2,0.3,0.52,,,21,33,51,,
02/2011,0.26,0.26,0.49,,,33,28,40,,
01/2011,0.42,0.19,,,,45,19,,,
12/2010,0.09,0.75,,,,9,66,,,
11/2010,0.06,0.73,,,,6,47,,,
10/2010,2.1,,,,,150,,,,
09/2010,0,,,,,0,,,,
02/2006,0,39.34,22.11,,,0,702,402,,
01/2006,0,39.34,,,,0,728,,,
12/2005,77.67,39.33,,,,1438,756,,,
11/2005,0,0,,,,0,0,,,
10/2005,0,,,,,0,,,,
11/2002,0.01,0.02,0.01,,,0,0,0,,
10/2002,0.02,0.01,0.12,,,0,0,2,,
09/2002,0.02,0.01,0.12,,,0,0,2,,
08/2002,0.01,0.01,0.12,,,0,0,3,,
07/2002,0.01,0.23,0.12,,,0,5,3,,
06/2002,0.01,0.23,0.12,,,0,5,3,,
05/2002,0.67,0.23,,,,15,5,,,
04/2002,0.01,0.01,,,,0,0,,,
03/2002,0.01,0.02,,,,0,0,,,
02/2002,0.01,,,,,0,,,,
01/2002,0.02,,,,,1,,,,
