Date,Unsched,MA 6,MA 3
16-Dec,972901.47,,
17-Jan,848508.11,,
17-Feb,991425.61,,
17-Mar,1553584.15,,937611.73
17-Apr,782768.15,,1131172.623
17-May,2311411.14,,1109259.303
17-Jun,4767132.2,1243433.105,1549254.48
17-Jul,2609997.78,1875804.893,2620437.163
17-Aug,2334954.88,2169386.505,3229513.707
17-Sep,1029450.47,2393308.05,3237361.62
17-Oct,2786955.74,2305952.437,1991467.71
17-Nov,1937541.23,2639983.702,2050453.697
17-Dec,2731178.53,2577672.05,1917982.48
18-Jan,2328837.78,2238346.438,2485225.167
,,,
